"y1","y2","st"
"1",1,1,1
"2",1,2,3
"3",1,3,3
"4",1,4,3
"5",1,5,3
"6",1,6,3
"7",1,7,3
"8",2,1,4
"9",2,2,2
"10",2,3,2
"11",2,4,2
"12",2,5,2
"13",2,6,2
"14",2,7,2
"15",3,1,4
"16",3,2,2
"17",3,3,2
"18",3,4,2
"19",3,5,2
"20",3,6,2
"21",3,7,2
"22",4,1,4
"23",4,2,2
"24",4,3,2
"25",4,4,2
"26",4,5,2
"27",4,6,2
"28",4,7,2
"29",5,1,4
"30",5,2,2
"31",5,3,2
"32",5,4,2
"33",5,5,2
"34",5,6,2
"35",5,7,2
"36",6,1,4
"37",6,2,2
"38",6,3,2
"39",6,4,2
"40",6,5,2
"41",6,6,2
"42",6,7,2
"43",7,1,4
"44",7,2,2
"45",7,3,2
"46",7,4,2
"47",7,5,2
"48",7,6,2
"49",7,7,2
